Day,Exercise,Minutes,Calories Burned
2016-12-12,"Paddling (Garmin)",41.3,-636.00
2017-01-18,"Running (Garmin)",38.88333333333333,-529.00
2016-12-17,"Cycling (Garmin)",53.516666666666666,-738.00
2017-02-18,"Indoor cardio (Garmin)",6.1,-9.00
2016-12-17,"Cycling (Garmin)",72.61666666666666,-1036.00
2017-01-23,"Indoor cardio (Garmin)",6.1,-8.00
2017-02-18,"Running (Garmin)",6.7,-102.00
2017-04-28,"Daily Activity (Garmin)",17.0,-66.00
2016-12-04,"Paddling (Garmin)",54.13333333333333,-712.00
2017-01-29,"Running (Garmin)",7.9,-117.00
2017-01-10,"Running (Garmin)",49.5,-574.00
2017-02-18,"Cycling (Garmin)",71.43333333333334,-907.00
2017-04-27,"Daily Activity (Garmin)",5.0,-90.00
2017-04-26,"Daily Activity (Garmin)",123.0,-58.00
2017-01-05,"Paddling (Garmin)",67.28333333333333,-489.00
2016-12-06,"Paddling (Garmin)",41.35,-604.00
2017-01-23,"Paddling (Garmin)",62.68333333333333,-752.00
2017-01-12,"Running (Garmin)",8.116666666666667,-105.00
2017-02-15,"Indoor cardio (Garmin)",6.316666666666666,-10.00
2017-04-25,"Daily Activity (Garmin)",31.0,-382.00
2017-05-31,"Daily Activity (Garmin)",80.0,0.00
2017-04-24,"Daily Activity (Garmin)",37.0,-250.00
2017-05-30,"Daily Activity (Garmin)",18.0,-76.00
2017-01-25,"Indoor cycling (Garmin)",135.01666666666668,-1041.00
2017-05-04,"Indoor cardio (Garmin)",7.533333333333333,-10.00
2017-01-12,"Running (Garmin)",19.883333333333333,-263.00
2017-02-15,"Lap swimming (Garmin)",62.083333333333336,-419.00
2017-04-23,"Daily Activity (Garmin)",52.0,0.00
2017-06-17,"Running (Garmin)",25.55,-410.00
2017-05-29,"Daily Activity (Garmin)",110.0,0.00
2016-12-02,"Cycling (Garmin)",41.35,-641.00
2017-04-22,"Daily Activity (Garmin)",0.0,0.00
2017-02-07,"Indoor cardio (Garmin)",6.883333333333334,-11.00
2017-05-28,"Daily Activity (Garmin)",30.0,0.00
2017-01-25,"Running (Garmin)",38.65,-558.00
2017-04-21,"Daily Activity (Garmin)",40.0,0.00
2017-01-12,"Running (Garmin)",7.166666666666667,-99.00
2017-05-27,"Daily Activity (Garmin)",85.0,-164.00
2017-04-20,"Daily Activity (Garmin)",40.0,-20.00
2017-06-17,"Running (Garmin)",15.783333333333333,-254.00
2017-05-26,"Daily Activity (Garmin)",4.0,-170.00
2017-01-08,"Paddling (Garmin)",52.733333333333334,-540.00
2017-01-30,"Indoor cardio (Garmin)",6.083333333333333,-9.00
2017-04-19,"Daily Activity (Garmin)",11.0,0.00
2016-12-13,"Paddling (Garmin)",49.96666666666667,-768.00
2017-05-25,"Daily Activity (Garmin)",83.0,-221.00
2016-12-29,"Running (Garmin)",60.68333333333333,-721.00
2017-04-18,"Daily Activity (Garmin)",27.0,-71.00
2017-01-30,"Running (Garmin)",7.366666666666666,-108.00
2017-05-24,"Daily Activity (Garmin)",97.0,0.00
2017-08-26,"Cycling (Garmin)",123.03333333333333,-1185.00
2017-04-17,"Daily Activity (Garmin)",0.0,-34.00
2016-12-01,"Paddling (Garmin)",41.46666666666667,-641.00
2017-04-16,"Daily Activity (Garmin)",24.0,0.00
2017-05-23,"Daily Activity (Garmin)",53.0,-330.00
2016-12-29,"Running (Garmin)",39.18333333333333,-494.00
2017-04-15,"Daily Activity (Garmin)",31.0,0.00
2017-05-22,"Daily Activity (Garmin)",68.0,-66.00
2017-04-14,"Daily Activity (Garmin)",80.0,0.00
2017-05-21,"Daily Activity (Garmin)",87.0,-81.00
2017-06-17,"Rowing (Garmin)",18.233333333333334,-271.00
2016-12-07,"Paddling (Garmin)",39.65,-599.00
2017-04-13,"Daily Activity (Garmin)",27.0,0.00
2017-05-20,"Daily Activity (Garmin)",80.0,0.00
2017-01-12,"Indoor cardio (Garmin)",1.9166666666666667,-3.00
2017-04-12,"Daily Activity (Garmin)",0.0,0.00
2017-05-19,"Daily Activity (Garmin)",54.0,-141.00
2017-08-30,"Running (Garmin)",27.333333333333332,-393.00
2017-04-11,"Daily Activity (Garmin)",0.0,0.00
2017-01-08,"Paddling (Garmin)",22.033333333333335,-236.00
2017-05-18,"Daily Activity (Garmin)",33.0,-138.00
2017-01-30,"Running (Garmin)",67.56666666666666,-653.00
2016-12-18,"Cycling (Garmin)",124.86666666666666,-1354.00
2017-04-10,"Daily Activity (Garmin)",0.0,0.00
2017-05-17,"Daily Activity (Garmin)",117.0,0.00
2017-01-06,"Paddling (Garmin)",74.26666666666667,-408.00
2017-05-16,"Daily Activity (Garmin)",71.0,-105.00
2017-04-09,"Daily Activity (Garmin)",41.0,0.00
2017-02-06,"Indoor cardio (Garmin)",7.95,-11.00
2017-08-21,"Cycling (Garmin)",67.28333333333333,-905.00
2017-01-30,"Running (Garmin)",7.783333333333333,-120.00
2017-04-08,"Daily Activity (Garmin)",48.0,0.00
2016-12-21,"Running (Garmin)",31.6,-514.00
2017-05-15,"Daily Activity (Garmin)",71.0,-12.00
2017-05-14,"Daily Activity (Garmin)",84.0,0.00
2017-02-01,"Running (Garmin)",7.033333333333333,-110.00
2017-04-07,"Daily Activity (Garmin)",96.0,0.00
2017-01-06,"Paddling (Garmin)",47.916666666666664,-373.00
2017-02-10,"Indoor cardio (Garmin)",6.15,-9.00
2017-09-13,"Treadmill running (Garmin)",32.03333333333333,-367.00
2017-01-16,"Indoor cardio (Garmin)",12.366666666666667,-12.00
2017-05-13,"Daily Activity (Garmin)",0.0,-157.00
2017-04-05,"Daily Activity (Garmin)",32.0,0.00
2017-05-12,"Daily Activity (Garmin)",0.0,0.00
2017-04-04,"Daily Activity (Garmin)",30.0,-94.00
2017-02-04,"Indoor cardio (Garmin)",6.366666666666666,-12.00
2016-12-31,"Running (Garmin)",26.566666666666666,-337.00
2017-11-11,"Running (Garmin)",29.666666666666668,-474.00
2017-04-03,"Daily Activity (Garmin)",63.0,-21.00
